question_blocks,question_type,options,correct_answer,difficulty,marks,branch_ids,subject_id,topic_id,is_pyq,pyq_year,is_theory,explanation,isStructured
"[{""type"": ""text"", ""body"": ""Which of the following statements are TRUE regarding Simple Linear Regression?""}]",MSQ,"[""It assumes a linear relationship between input and output"",""It can only have one independent variable"",""It is inherently robust to extreme outliers"",""The error terms are assumed to be normally distributed for hypothesis testing""]","[""A"", ""B"", ""D""]",easy,1,[1],6,30,FALSE,null,TRUE,"Simple Linear Regression assumes linearity, uses only one independent variable, and assumes normal distribution of errors for valid hypothesis testing. However, ordinary least squares is highly sensitive to outliers, so C is false.",TRUE
"[{""type"": ""text"", ""body"": ""A linear regression model is given by $$y = 2.5x + 3$$. If $$x = 4$$, what is the predicted value of $$y$$?""}]",NAT,null,13,easy,1,[1],6,30,FALSE,null,FALSE,Substitute the value of x into the regression equation: $$y = 2.5(4) + 3$$. This gives $$y = 10 + 3 = 13$$. The predicted value is 13.,FALSE
"[{""type"": ""text"", ""body"": ""Which of the following statements correctly describe Lasso regression?""}]",MSQ,"[""It adds an L1 penalty term to the loss function"",""It can shrink the coefficients of less important features to exactly zero"",""It adds an L2 penalty term to the loss function"",""It is incapable of performing feature selection""]","[""A"", ""B""]",easy,1,[1],6,30,FALSE,null,TRUE,"Lasso regression (Least Absolute Shrinkage and Selection Operator) uses an L1 penalty. Because of the diamond shape of the L1 constraint region, it often intersects the cost function contours at the axes, driving some coefficients exactly to zero. This allows it to act as an automatic feature selector.",TRUE
"[{""type"": ""text"", ""body"": ""In a linear regression model, for a single observation with an actual target value of $$y = 10$$ and a model predicted value of $$\hat{y} = 7.5$$, calculate the squared error for this observation.""} ]",NAT,null,6.25,easy,1,[1],6,30,FALSE,null,FALSE,"The error (residual) for the observation is the difference between the actual and predicted value: $$10 - 7.5 = 2.5$$. The squared error is $$2.5^2 = 6.25$$. Therefore, the value is 6.25.",FALSE
"[{""type"": ""text"", ""body"": ""Which of the following are expected consequences of fitting a very high-degree polynomial regression model to a small, noisy dataset?""}]",MSQ,"[""High Bias"",""High Variance"",""Severe Overfitting"",""Underfitting""]","[""B"", ""C""]",easy,1,[1],6,30,FALSE,null,TRUE,"A high-degree polynomial model is highly flexible and will fit the noise in a small dataset perfectly. This leads to severe overfitting and high variance, meaning the model's predictions will vary wildly for new, unseen data points. It does not cause high bias or underfitting.",TRUE
"[{""type"": ""text"", ""body"": ""Which of the following are standard assumptions (Gauss-Markov assumptions) made in Ordinary Least Squares (OLS) linear regression?""}]",MSQ,"[""The independent variables are perfectly multicollinear"",""The variance of the error terms is constant (homoscedasticity)"",""The expected value (mean) of the error term is zero"",""The relationship between the dependent and independent variables is linear in parameters""]","[""B"", ""C"", ""D""]",medium,2,[1],6,30,FALSE,null,TRUE,"The Gauss-Markov theorem states that OLS is BLUE (Best Linear Unbiased Estimator) under certain assumptions: linearity in parameters, zero conditional mean of errors, no perfect multicollinearity, and homoscedasticity (constant variance of errors). Perfect multicollinearity violates the assumptions.",TRUE
"[{""type"": ""text"", ""body"": ""For a simple linear regression model, the Total Sum of Squares (SST) is evaluated to 200 and the Sum of Squared Residuals (SSR) is evaluated to 50. Calculate the R-squared ($$R^2$$) value.""}]",NAT,null,0.75,medium,2,[1],6,30,FALSE,null,FALSE,"The R-squared ($$R^2$$) metric is defined as $$1 - (SSR / SST)$$. Substituting the given values, we get $$1 - (50 / 200) = 1 - 0.25 = 0.75$$. This means 75% of the variance is explained by the model.",FALSE
"[{""type"": ""text"", ""body"": ""Which of the following evaluation metrics for regression models are scale-dependent (i.e., their units match the original units of the target variable)?""}]",MSQ,"[""Mean Absolute Error (MAE)"",""Root Mean Squared Error (RMSE)"",""R-squared ($$R^2$$)"",""Mean Absolute Percentage Error (MAPE)""]","[""A"", ""B""]",medium,2,[1],6,30,FALSE,null,FALSE,"MAE and RMSE are calculated using the absolute or squared differences between predictions and actuals (with RMSE taking the square root at the end), so they retain the original units of the target variable. R-squared is a unitless proportion of variance. MAPE is a unitless percentage.",FALSE
"[{""type"": ""text"", ""body"": ""In the gradient descent algorithm for optimizing a single weight $$w$$, the learning rate is set to $$\alpha = 0.1$$. If the current weight is $$w = 2.0$$ and the gradient of the cost function with respect to $$w$$ is evaluated as $$5.0$$, what will be the updated value of $$w$$?""}]",NAT,null,1.5,medium,2,[1],6,30,FALSE,null,FALSE,The gradient descent update rule is given by: $$w_{new} = w_{old} - \alpha \times \nabla J(w)$$. Substituting the known values: $$w_{new} = 2.0 - 0.1 \times 5.0$$. This simplifies to $$2.0 - 0.5 = 1.5$$. The updated weight is 1.5.,FALSE
"[{""type"": ""text"", ""body"": ""In the context of the Bias-Variance tradeoff, increasing the regularization parameter $$\lambda$$ in Ridge Regression will generally lead to which of the following?""}]",MSQ,"[""An increase in model bias"",""A decrease in model bias"",""An increase in model variance"",""A decrease in model variance""]","[""A"", ""D""]",medium,2,[1],6,30,FALSE,null,FALSE,"Increasing the regularization parameter $$\lambda$$ heavily penalizes large coefficients, forcing the model to become simpler. A simpler model is less sensitive to the training data fluctuations (decreased variance) but makes stronger assumptions, potentially missing the underlying true relationship (increased bias).",FALSE
"[{""type"": ""text"", ""body"": ""Consider the Ordinary Least Squares (OLS) closed-form estimator $$\hat{\beta} = (X^T X)^{-1} X^T y$$. Which of the following conditions MUST hold for this unique analytical solution to exist?""}]",MSQ,"[""The matrix $$X^T X$$ must be strictly positive definite"",""The number of features must be strictly greater than the number of observations ($$p > n$$)"",""The columns of the design matrix $$X$$ must be linearly independent"",""The target variable $$y$$ must be binary""]","[""A"", ""C""]",hard,2,[1],6,30,FALSE,null,FALSE,"For the inverse $$(X^T X)^{-1}$$ to exist, the square matrix $$X^T X$$ must be non-singular (invertible). This requires the design matrix $$X$$ to have full column rank, meaning its columns must be linearly independent. If they are linearly independent, $$X^T X$$ is positive definite. Having $$p > n$$ would make $$X$$ rank-deficient, preventing inversion.",FALSE
"[{""type"": ""text"", ""body"": ""In a Ridge regression model, the L2 regularization penalty term added to the loss function is $$\lambda \sum \beta_i^2$$. If the model has exactly two weights, $$\beta_1 = 3$$ and $$\beta_2 = -4$$, and the regularization hyperparameter is set to $$\lambda = 0.5$$, what is the exact value of the penalty term added to the unregularized loss?""}]",NAT,null,12.5,hard,2,[1],6,30,FALSE,null,FALSE,The penalty term for Ridge regression is given by $$\lambda (\beta_1^2 + \beta_2^2)$$. Plugging in the values: $$0.5 \times (3^2 + (-4)^2)$$. This equals $$0.5 \times (9 + 16) = 0.5 \times 25 = 12.5$$. The penalty added is 12.5.,FALSE
"[{""type"": ""text"", ""body"": ""What are the typical consequences of severe multicollinearity among independent variables in a multiple linear regression model?""}]",MSQ,"[""The standard errors of the estimated regression coefficients become inflated and very large"",""The OLS estimators lose their property of being unbiased"",""Small, random variations in the training data can lead to drastically different coefficient estimates"",""The overall predictive performance (e.g., $$R^2$$) on the training set becomes severely degraded""]","[""A"", ""C""]",hard,2,[1],6,30,FALSE,null,TRUE,"Multicollinearity inflates the variance (and thus standard errors) of the coefficient estimates, making them highly unstable and sensitive to minor data changes. However, it does not make the OLS estimators biased (they remain unbiased), nor does it necessarily degrade the fit ($$R^2$$) on the training data; it simply makes identifying individual feature importance difficult.",TRUE
"[{""type"": ""text"", ""body"": ""In a multiple linear regression problem, a dataset contains $$n = 100$$ observations and $$p = 5$$ predictor variables. If an intercept term is included in the model, what is the total number of elements in the square matrix $$(X^T X)^{-1}$$ computed by the Normal Equation?""}]",NAT,null,36,hard,2,[1],6,30,FALSE,null,FALSE,"The design matrix $$X$$ has dimensions $$n \times (p + 1)$$ to account for the intercept term. Here, $$X$$ is $$100 \times 6$$. The matrix $$X^T$$ is $$6 \times 100$$. Therefore, $$X^T X$$ results in a $$6 \times 6$$ matrix. The inverse $$(X^T X)^{-1}$$ maintains the same dimensions, $$6 \times 6$$. The total number of elements is $$6 \times 6 = 36$$.",FALSE
"[{""type"": ""text"", ""body"": ""Which of the following statements regarding Elastic Net regularization are correct?""}]",MSQ,"[""It linearly combines both L1 (Lasso) and L2 (Ridge) penalties in its loss function"",""It overcomes the limitation of Lasso by being able to select more than $$n$$ variables when the number of features $$p$$ is greater than observations $$n$$"",""It strictly behaves as Ridge regression when the L1 ratio parameter is set to 1.0"",""It possesses a grouping effect, meaning it tends to select or drop groups of highly correlated variables together""]","[""A"", ""B"", ""D""]",hard,2,[1],6,30,FALSE,null,FALSE,"Elastic Net combines L1 and L2 penalties. Unlike Lasso, which can select at most $$n$$ variables when $$p > n$$, Elastic Net can select more. It also groups correlated variables together, either keeping or shrinking them collectively. However, an L1 ratio of 1.0 means it relies 100% on the L1 penalty, making it equivalent to Lasso, not Ridge.",FALSE
